EQ, 746780922.62, DPW, UW,   , SHZ, P, None, F
EQ, 746780926.36, HDW, UW,   , SHZ, P, None, F
EQ, 746780922.12, NEL, UW,   , SHZ, P, None, F
EQ, 746780929.89, GLK, UW,   , SHZ, P, None, F
EQ, 746780924.15, ETW, UW,   , SHZ, P, None, F
EQ, 746780937.65, VBE, UW,   , SHZ, P, None, F
EQ, 746780929.14, GBL, UW,   , SHZ, P, None, F
EQ, 746780931.37, BOW, UW,   , SHZ, P, None, F
EQ, 746780934.87, JBO, UW,   , SHZ, P, None, F
EQ, 746780928.06, CRF, UW,   , SHZ, P, None, F
EQ, 746780925.25, EPH, UW,   , SHZ, P, None, F
EQ, 746780920.97, CMW, UW,   , SHZ, P, None, F
EQ, 746780929.42, CPW, UW,   , SHZ, P, None, F
EQ, 746780928.46, RVC, UW,   , SHZ, P, None, F
EQ, 746780932.25, ASR, UW,   , SHZ, P, None, F
EQ, 746780929.31, WPW, UW,   , SHZ, P, None, F
EQ, 746780931.83, LNO, UW,   , SHZ, P, None, F
EQ, 746780923.73, SAW, UW,   , SHZ, P, None, F
EQ, 746780921.93, JCW, UW,   , SHZ, P, None, F
EQ, 746780927.85, ELL, UW,   , SHZ, P, None, F
EQ, 746780928.06, FMW, UW,   , SHZ, P, None, F
EQ, 746780924.97, OD2, UW,   , SHZ, P, None, F
EQ, 746780922.42, DY2, UW,   , SHZ, P, None, F
EQ, 746780937.6, VCR, UW,   , SHZ, P, None, F
EQ, 746780924.01, STW, UW,   , SHZ, P, None, F
EQ, 746780926.32, GMW, UW,   , SHZ, P, None, F
EQ, 746780929.19, LO2, UW,   , SHZ, P, None, F
EQ, 746780939.82, VIP, UW,   , SHZ, P, None, F
EQ, 746780920.7, MCW, UW,   , SHZ, P, None, F
EQ, 703703246.3, NAC, UW,   , EHZ, P, None, F
EQ, 703703261.11, NAC, UW,   , EHZ, S, None, F
EQ, 703703265.12, PAT, UW,   , EHZ, P, None, F
EQ, 703703248.25, BOW, UW,   , EHZ, P, None, F
EQ, 703703265.49, BOW, UW,   , EHZ, S, None, F
EQ, 703703254.57, EPH, UW,   , EHZ, P, None, F
EQ, 703703278.38, EPH, UW,   , EHZ, S, None, F
EQ, 703703233.16, GSM, UW,   , EHZ, P, None, F
EQ, 703703241.97, CPW, UW,   , EHZ, P, None, F
EQ, 703703236.41, RVC, UW,   , EHZ, P, None, F
EQ, 703703259.88, PRO, UW,   , EHZ, P, None, F
EQ, 703703231.55, SPW, UW,   , EHZ, P, None, F
EQ, 703703235.36, SPW, UW,   , EHZ, S, None, F
EQ, 703703248.87, HSR, UW,   , EHZ, P, None, F
EQ, 703703260.63, KMO, UW,   , EHZ, P, None, F
EQ, 703703250.04, RVW, UW,   , EHZ, P, None, F
EQ, 703703260.27, MJ2, UW,   , EHZ, P, None, F
EQ, 703703242.16, OHW, UW,   , EHZ, P, None, F
EQ, 703703256.11, SAW, UW,   , EHZ, P, None, F
EQ, 703703282.16, SAW, UW,   , EHZ, S, None, F
EQ, 703703259.22, WRD, UW,   , EHZ, P, None, F
EQ, 703703288.43, WRD, UW,   , EHZ, S, None, F
EQ, 703703254.25, BVW, UW,   , EHZ, P, None, F
EQ, 703703248.3, YEL, UW,   , EHZ, P, None, F
EQ, 703703275.23, VIP, UW,   , EHZ, P, None, F
EQ, 703703264.61, VG2, UW,   , EHZ, P, None, F
EQ, 703703238.9, HDW, UW,   , EHZ, P, None, F
EQ, 703703245.1, CMM, UW,   , EHZ, P, None, F
EQ, 703703260.15, CMM, UW,   , EHZ, S, None, F
EQ, 703703259.14, GBL, UW,   , EHZ, P, None, F
EQ, 703703286.93, GBL, UW,   , EHZ, S, None, F
EQ, 703703253.73, GUL, UW,   , EHZ, P, None, F
EQ, 703703257.98, CRF, UW,   , EHZ, P, None, F
EQ, 703703285.99, CRF, UW,   , EHZ, S, None, F
EQ, 703703243.72, CMW, UW,   , EHZ, P, None, F
EQ, 703703240.99, LMW, UW,   , EHZ, P, None, F
EQ, 703703252.21, LMW, UW,   , EHZ, S, None, F
EQ, 703703259.24, VLM, UW,   , EHZ, P, None, F
EQ, 703703261.05, VLL, UW,   , EHZ, P, None, F
EQ, 703703264.64, TKO, UW,   , EHZ, P, None, F
EQ, 703703249.09, OSR, UW,   , EHZ, P, None, F
EQ, 703703249.22, JUN, UW,   , EHZ, P, None, F
EQ, 703703266.6, JUN, UW,   , EHZ, S, None, F
EQ, 703703247.2, OSD, UW,   , EHZ, P, None, F
EQ, 703703255.04, NLO, UW,   , EHZ, P, None, F
EQ, 703703248.59, SHW, UW,   , EHZ, P, None, F
EQ, 703703261.34, VGB, UW,   , EHZ, P, None, F
EQ, 703703240.72, BLN, UW,   , EHZ, P, None, F
EQ, 703703242.31, LCW, UW,   , EHZ, P, None, F
EQ, 703703254.91, LCW, UW,   , EHZ, S, None, F
EQ, 703703252.54, MOX, UW,   , EHZ, P, None, F
EQ, 703703272.92, MOX, UW,   , EHZ, S, None, F
EQ, 703703248.5, FL2, UW,   , EHZ, P, None, F
EQ, 703703265.55, FL2, UW,   , EHZ, S, None, F
EQ, 703703234.12, HTW, UW,   , EHZ, P, None, F
EQ, 703703251.16, CBS, UW,   , EHZ, P, None, F
EQ, 703703269.39, SSO, UW,   , EHZ, P, None, F
EQ, 703703245.13, TBM, UW,   , EHZ, P, None, F
EQ, 703703259.47, TBM, UW,   , EHZ, S, None, F
EQ, 703703249.73, NEL, UW,   , EHZ, P, None, F
EQ, 703703266.64, NEL, UW,   , EHZ, S, None, F
EQ, 703703243.69, GLK, UW,   , EHZ, P, None, F
EQ, 703703256.5, GLK, UW,   , EHZ, S, None, F
EQ, 703703247.62, ETW, UW,   , EHZ, P, None, F
EQ, 703703238.51, RER, UW,   , EHZ, P, None, F
EQ, 703703246.99, RER, UW,   , EHZ, S, None, F
EQ, 703703248.58, REM, UW,   , EHZ, P, None, F
EQ, 703703266.18, JBO, UW,   , EHZ, P, None, F
EQ, 703703250.01, ASR, UW,   , EHZ, P, None, F
EQ, 703703231.45, RMW, UW,   , EHZ, P, None, F
EQ, 703703241.57, WPW, UW,   , EHZ, P, None, F
EQ, 703703252.95, WPW, UW,   , EHZ, S, None, F
EQ, 703703273.7, LNO, UW,   , EHZ, P, None, F
EQ, 703703234.15, SEA, UW,   , EHN, P, None, F
EQ, 703703239.93, SEA, UW,   , EHN, S, None, F
EQ, 703703233.78, SEA, UW,   , EHE, P, None, F
EQ, 703703239.95, SEA, UW,   , EHE, S, None, F
EQ, 703703257.37, WA2, UW,   , EHZ, P, None, F
